Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,131.01,0.0,5.51,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,118.1,0.0,5.32,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,119.99,0.0,5.05,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,110.07,0.0,4.64,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,112.98,0.0,4.23,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,112.01,0.0,3.78,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,89.16,0.0,3.79,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,79.07,0.0,3.96,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,72.05,0.0,4.06,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,57.11,0.0,4.02,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,27.22,0.0,4.13,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,21.05,0.0,4.25,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,23.98,0.0,4.23,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,19.04,0.0,4.5,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,15.03,0.0,4.0,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,10.04,0.0,4.0,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,10.99,0.0,4.06,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,11.0,0.0,3.98,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,11.0,0.0,3.69,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,10.01,0.0,3.69,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,8.01,0.0,3.61,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,6.01,0.0,3.68,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,5.01,0.0,3.54,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,7.98,0.0,3.67,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,9.98,0.0,3.29,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,10.0,0.0,3.83,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,31.88,0.0,4.0,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,19.07,0.0,4.1,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,49.82,0.0,3.99,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,16.19,0.0,4.02,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,13.02,0.0,3.95,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,13.0,0.0,4.18,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,26.92,0.0,4.22,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,43.9,0.0,4.52,0.0,0.0,0.0,0.0
