Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,1.49,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,0.68,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,0.94,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,0.43,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,0.32,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,0.57,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,0.23,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,0.63,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,0.82,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,1.37,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,1.82,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,1.36,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,1.52,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,1.52,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,1.22,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,0.87,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,0.46,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,0.87,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,1.3,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,2.89,0.0,0.0,0.0,0.0
